text,bio,pola
反 应 速 度 也 比 较 快,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
的 紫 边 现 象 比 较 轻 微,O B-ASP I-ASP I-ASP I-ASP O O O O,0 1 1 1 1 0 0 0 0
机 子 的 持 握 感 依 旧 不 错,O O O B-ASP I-ASP I-ASP O O O O,0 0 0 1 1 1 0 0 0 0
色 彩 非 常 的 艳 丽,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
开 机 速 度 一 般,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
镜 头 伸 出 的 速 度 也 不 是 非 常 快,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O,-1 -1 -1 -1 -1 -1 -1 0 0 0 0 0 0
色 彩 自 然 逼 真,B-ASP I-ASP O O O O,1 1 0 0 0 0
拍 照 时 快 门 时 滞 明 显,O O O B-ASP I-ASP I-ASP I-ASP O O,0 0 0 -1 -1 -1 -1 0 0
价 格 低,B-ASP I-ASP O,1 1 0
手 动 功 能 强 大,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
自 动 功 能 实 用,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
液 晶 屏 太 小 相 素 太 低,B-ASP I-ASP I-ASP O O O O O O,-1 -1 -1 0 0 0 0 0 0
电 池 盖 有 点 松,B-ASP I-ASP I-ASP O O O,-1 -1 -1 0 0 0
机 形 虽 不 大,B-ASP I-ASP O O O,1 1 0 0 0
闪 光 灯 充 电 时 间 太 长 了,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O,-1 -1 -1 -1 -1 -1 -1 0 0 0
图 象 锐 度 不 错,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
在 室 内 的 效 果 也 不 错,O O O O B-ASP I-ASP O O O,0 0 0 0 1 1 0 0 0
高 下 照 片 燥 点 比 较 明 显,O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 -1 -1 -1 -1 0 0 0 0
短 片 功 能 不 错,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
另 外 在 阳 光 下 的 显 示 效 果 不 是 很 好,O O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0
开 关 机 速 度 很 快,B-ASP I-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 1 0 0
快 门 时 滞 比 较 小,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
存 卡 速 度 也 很 快,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
功 能 转 盘 设 计 的 有 点 紧,B-ASP I-ASP I-ASP I-ASP O O O O O O,-1 -1 -1 -1 0 0 0 0 0 0
闪 光 灯 充 电 时 间 较 长,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 -1 -1 -1 0 0
机 身 更 加 轻 巧,B-ASP I-ASP O O O O,1 1 0 0 0 0
点 测 光 的 范 围 太 大 了,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O,-1 -1 -1 -1 -1 -1 0 0 0
快 门 速 度 缩 水,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
快 门 速 度 缩 水,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
的 恒 定 光 圈 让 人 遗 憾,O B-ASP I-ASP I-ASP I-ASP O O O O,0 -1 -1 -1 -1 0 0 0 0
屏 幕 效 果 细 腻 著 称,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
细 腻 度 大 打 折 扣,B-ASP I-ASP I-ASP O O O O,-1 -1 -1 0 0 0 0
光 学 防 抖 较 好,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
续 航 力 还 是 一 般,B-ASP I-ASP I-ASP O O O O,-1 -1 -1 0 0 0 0
存 储 速 度 快,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
它 的 连 拍 速 度 非 常 过 瘾,O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 1 1 1 1 0 0 0 0
色 彩 艳 丽 逼 真 不 亚 于 胶 片,B-ASP I-ASP O O O O O O O O O,1 1 0 0 0 0 0 0 0 0 0
外 面 的 工 程 塑 料 手 感 很 好,O O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 0 1 1 0 0
超 清,O O,0 0
紫 边 现 象 严 重,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
镜 头 有 松 动 声 音 现 象,B-ASP I-ASP O O O O O O O,-1 -1 0 0 0 0 0 0 0
的 内 部 设 计 更 为 紧 凑,O B-ASP I-ASP I-ASP I-ASP O O O O,0 1 1 1 1 0 0 0 0
手 感 依 然 舒 适,B-ASP I-ASP O O O O,1 1 0 0 0 0
供 电 方 面 是 此 次 的 一 个 绝 对 亮 点,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0 0 0
不 过 这 个 模 式 拨 盘 操 作 性 比 较 差,O O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O,0 0 0 0 -1 -1 -1 -1 -1 -1 -1 0 0 0
原 因 之 一 是 转 盘 太 小,O O O O O B-ASP I-ASP O O,0 0 0 0 0 -1 -1 0 0
而 且 单 手 操 作 起 来 不 是 很 方 便,O O O O B-ASP I-ASP O O O O O O O,0 0 0 0 -1 -1 0 0 0 0 0 0 0
配 件 的 价 格 太 高,B-ASP I-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 -1 0 0
大 容 量 的 价 格 一 直 比 较 高,O O O O B-ASP I-ASP O O O O O,0 0 0 0 -1 -1 0 0 0 0 0
原 装 电 池 的 价 格 更 是 吓 人 的,O O O O O B-ASP I-ASP O O O O O,0 0 0 0 0 -1 -1 0 0 0 0 0
导 致 视 频 文 件 的 体 积 巨 大,O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 -1 -1 -1 -1 -1 -1 -1 0 0
加 上 大 容 量 的 价 格 较 贵,O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 -1 -1 0 0
拍 摄 时 间 更 加 受 限,B-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 0 0 0 0
这 一 设 计 也 是 让 人 称 道 的,O O B-ASP I-ASP O O O O O O O,0 0 1 1 0 0 0 0 0 0 0
画 面 比 较 清 晰,B-ASP I-ASP O O O O,1 1 0 0 0 0
声 音 还 原 较 佳,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
导 致 显 示 的 画 面 不 购 细 腻,O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 -1 -1 0 0 0 0
就 是 对 其 大 气 的 外 形 所 吸 引,O O O O O O O B-ASP I-ASP O O O,0 0 0 0 0 0 0 1 1 0 0 0
两 者 造 型 厚 实,O O B-ASP I-ASP O O,0 0 1 1 0 0
布 置 紧 凑,B-ASP I-ASP O O,1 1 0 0
而 且 手 柄 持 握 起 来 很 舒 服,O O B-ASP I-ASP O O O O O O O,0 0 1 1 0 0 0 0 0 0 0
图 像 非 常 细 腻,B-ASP I-ASP O O O O,1 1 0 0 0 0
开 机 速 度 快,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
而 它 的 对 焦 速 度 也 非 常 出 色 并 且 在 拍 摄 过 程 中,O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O O,0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
两 张 之 间 的 拍 摄 间 隔 还 是 比 较 短 的,O O O O O B-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 0 0 0 1 1 1 1 0 0 0 0 0 0
色 彩 鲜 艳,B-ASP I-ASP O O,1 1 0 0
画 面 干 净 的 优 点 同 样 得 以 在 上 体 现,B-ASP I-ASP O O O O O O O O O O O O O,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
手 感 不 错,B-ASP I-ASP O O,1 1 0 0
颜 色 亮 丽,B-ASP I-ASP O O,1 1 0 0
还 原 真 实,B-ASP I-ASP O O,1 1 0 0
边 缘 锐 利 度 不 错,B-ASP I-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 1 0 0
操 作 简 单,B-ASP I-ASP O O,1 1 0 0
效 果 不 错,B-ASP I-ASP O O,1 1 0 0
机 子 反 应 速 度 快,O O B-ASP I-ASP I-ASP I-ASP O,0 0 1 1 1 1 0
电 池 续 航 能 力 一 般,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 -1 -1 0 0
这 时 紫 边 并 不 明 显,O O B-ASP I-ASP O O O O,0 0 1 1 0 0 0 0
广 角 不 够 用,B-ASP I-ASP O O O,-1 -1 0 0 0
原 装 配 件 太 贵,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
所 以 现 在 的 可 能 一 定 程 度 成 本 略 高,O O O O O O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 0 0 0 0 0 -1 -1 0 0
质 量 差,B-ASP I-ASP O,-1 -1 0
外 观 比 较 唬 人,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
镜 头 大,B-ASP I-ASP O,-1 -1 0
成 像 效 果 一 般,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
手 动 功 能 很 全 面,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
价 格 实 惠,B-ASP I-ASP O O,1 1 0 0
机 身 质 感 差,B-ASP I-ASP I-ASP I-ASP O,-1 -1 -1 -1 0
成 像 不 突 出,B-ASP I-ASP O O O,-1 -1 0 0 0
最 重 要 的 镜 头 和 没 有 变 化 并 且 价 格 更 加 便 宜,O O O O O O O O O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 0 0 0 0
它 的 机 身 尺 寸 更 加 小 巧,O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 1 1 1 1 0 0 0 0
的 手 感 相 当 不 错,O B-ASP I-ASP O O O O,0 1 1 0 0 0 0
照 片 质 量 都 比 较 令 人 满 意,B-ASP I-ASP I-ASP I-ASP O O O O O O O,1 1 1 1 0 0 0 0 0 0 0
手 感 光 滑,B-ASP I-ASP O O,1 1 0 0
的 整 体 做 工 十 分 考 究,O B-ASP I-ASP I-ASP I-ASP O O O O,0 1 1 1 1 0 0 0 0
机 身 浑 然 一 体,B-ASP I-ASP O O O O,1 1 0 0 0 0
这 块 屏 的 色 彩 还 原 性 比 较 突 出,O O O O B-ASP I-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 1 1 1 1 1 0 0 0 0
变 焦 迅 速 均 匀,B-ASP I-ASP O O O O,1 1 0 0 0 0
对 焦 速 度 相 当 快,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
在 高 下 画 面 颗 粒 感 很 严 重,O O O B-ASP I-ASP I-ASP I-ASP I-ASP O O O,0 0 0 -1 -1 -1 -1 -1 0 0 0
感 觉 室 内 拍 摄 效 果 不 是 很 好,O O O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 -1 -1 -1 -1 0 0 0 0
其 机 身 大 小 适 中,O B-ASP I-ASP I-ASP I-ASP O O,0 1 1 1 1 0 0
电 池 的 续 航 能 力 不 错,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 1 1 1 0 0
但 是 其 续 航 能 力 的 确 非 常 强,O O O B-ASP I-ASP I-ASP I-ASP O O O O O,0 0 0 1 1 1 1 0 0 0 0 0
价 格 太 高,B-ASP I-ASP O O,-1 -1 0 0
图 像 处 理 时 间 过 长,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 -1 -1 0 0
而 且 数 据 存 储 速 度 较 慢,O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 -1 -1 -1 -1 -1 -1 0 0
发 现 测 光 系 统 非 常 灵 敏,O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 1 1 1 1 0 0 0 0
这 样 的 显 示 方 式 无 疑 更 直 观 和 方 便,O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O O,0 0 0 1 1 1 1 0 0 0 0 0 0 0 0
手 柄 有 些 偏 小,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
左 右 的 价 格 比 较 合 适,O O O B-ASP I-ASP O O O O,0 0 0 1 1 0 0 0 0
只 是 液 晶 屏 小 了 点,O O B-ASP I-ASP I-ASP O O O,0 0 -1 -1 -1 0 0 0
实 际 使 用 中 显 示 效 果 一 流,O O O O O B-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 0 1 1 1 1 0 0
成 相 质 量 好,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
拍 的 照 片 很 漂 亮,O O B-ASP I-ASP O O O,0 0 1 1 0 0 0
作 工 好,B-ASP I-ASP O,1 1 0
发 热 量 大,B-ASP I-ASP I-ASP O,-1 -1 -1 0
寸 万 像 素 的 超 级 晶 彩 屏 视 角 非 常 宽,O O O O O O O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 0 0 0 0 0 0 1 1 1 1 0 0 0
而 且 色 彩 鲜 艳 反 差 略 大,O O B-ASP I-ASP O O O O O O,0 0 -1 -1 0 0 0 0 0 0
电 池 巡 航 能 力 相 当 不 错,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 1 1 0 0 0 0
回 放 速 度 非 常 快,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
外 观 并 无 出 色 设 计,B-ASP I-ASP O O O O O O,-1 -1 0 0 0 0 0 0
塑 料 卡 口 的 缺 点 是 耐 用 性 差,O O O O O O O O B-ASP I-ASP I-ASP O,0 0 0 0 0 0 0 0 -1 -1 -1 0
机 身 高 度 也 不 如 尼 康 的 一 些 机 型 来 得 高,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O O,-1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0
体 积 小 巧,B-ASP I-ASP O O,1 1 0 0
手 感 细 腻,B-ASP I-ASP O O,1 1 0 0
做 工 非 常 的 精 致,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
图 象 非 常 清 晰 我 就 更 加 爱 不 释 手 了,B-ASP I-ASP O O O O O O O O O O O O O,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
操 控 性 能 良 好,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
图 象 色 彩 艳 丽,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
还 原 效 果 理 想,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
原 装 电 池 容 量 较 小,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 -1 -1 0 0
手 柄 宽 大 厚 实,B-ASP I-ASP O O O O,1 1 0 0 0 0
握 持 手 感 相 当 好,O O B-ASP I-ASP O O O,0 0 1 1 0 0 0
的 启 动 速 度 不 快,O B-ASP I-ASP I-ASP I-ASP O O,0 -1 -1 -1 -1 0 0
画 制 非 常 不 错,B-ASP I-ASP O O O O,1 1 0 0 0 0
比 如 画 面 比 的 就 要 强,O O B-ASP I-ASP O O O O O,0 0 1 1 0 0 0 0 0
而 这 款 尼 康 的 还 原 性 非 常 好,O O O O O O B-ASP I-ASP I-ASP O O O,0 0 0 0 0 0 1 1 1 0 0 0
功 能 全 面,B-ASP I-ASP O O,1 1 0 0
录 象 功 能 很 不 错,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
画 面 清 晰,B-ASP I-ASP O O,1 1 0 0
录 音 效 果 很 好 且 没 有 时 间 限 制,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0 0
最 最 值 得 一 提 的 是 体 积 很 小 巧,O O O O O O O O B-ASP I-ASP O O O,0 0 0 0 0 0 0 0 1 1 0 0 0
外 观 精 美,B-ASP I-ASP O O,1 1 0 0
还 有 就 是 价 格 比 较 合 适 拉,O O O O B-ASP I-ASP O O O O O,0 0 0 0 1 1 0 0 0 0 0
现 在 这 个 价 格 也 算 是 很 划 算 的,O O O O B-ASP I-ASP O O O O O O O,0 0 0 0 1 1 0 0 0 0 0 0 0
色 彩 还 原 鲜 艳 而 不 失 真,B-ASP I-ASP O O O O O O O O,1 1 0 0 0 0 0 0 0 0
图 像 细 节 丰 富,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
锐 度 强,B-ASP I-ASP O,1 1 0
存 盘 速 度 都 比 较 理 想,B-ASP I-ASP I-ASP I-ASP O O O O O,1 1 1 1 0 0 0 0 0
微 距 性 能 极 佳,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
在 比 较 暗 的 地 方 其 对 焦 成 功 率 仍 然 很 高,O O O O O O O O B-ASP I-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0
相 机 很 漂 亮,B-ASP I-ASP O O O,1 1 0 0 0
相 机 右 部 的 握 柄 部 位 手 感 极 佳,O O O O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 0 0 0 1 1 0 0
体 形 较 为 小 巧,B-ASP I-ASP O O O O,1 1 0 0 0 0
的 外 观 设 计 整 体 来 说 还 是 比 较 简 洁,O B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O,0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
其 背 部 设 计 相 当 明 快,O B-ASP I-ASP I-ASP I-ASP O O O O,0 1 1 1 1 0 0 0 0
图 像 细 腻 程 度 较 高,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 1 1 0 0
市 场 价 格 要 比 主 流 的 和 高 出 一 些,O O B-ASP I-ASP O O O O O O O O O O,0 0 1 1 0 0 0 0 0 0 0 0 0 0
开 机 速 度 快,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
快 门 速 度 较 慢,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
开 机 奇 快,B-ASP I-ASP O O,1 1 0 0
光 圈 大,B-ASP I-ASP O,1 1 0
画 质 特 别 好,B-ASP I-ASP O O O,1 1 0 0 0
广 角 变 形 十 分 严 重,B-ASP I-ASP O O O O O O,-1 -1 0 0 0 0 0 0
是 反 应 慢,O B-ASP I-ASP O,0 -1 -1 0
微 距 很 弱 的,B-ASP I-ASP O O O,-1 -1 0 0 0
的 配 件 奇 贵,O B-ASP I-ASP O O,0 -1 -1 0 0
液 晶 屏 明 显 变 暗,B-ASP I-ASP I-ASP O O O O,-1 -1 -1 0 0 0 0
原 装 皮 套 同 样 很 傻,B-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 0 0 0 0
目 前 来 说 性 能 价 格 比 很 好,O O O O B-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 1 1 1 1 1 0 0
的 功 能 确 实 强 大,O B-ASP I-ASP O O O O,0 1 1 0 0 0 0
传 输 使 用 中 速 度 也 确 实 不 错,O O O O O B-ASP I-ASP O O O O O,0 0 0 0 0 1 1 0 0 0 0 0
外 形 优 美,B-ASP I-ASP O O,1 1 0 0
表 面 橡 胶 材 质 持 握 舒 适,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 1 1 0 0 0 0
快 门 手 感 良 好,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
手 动 功 能 齐 全,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
成 像 质 量 较 好,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
紫 边 不 算 明 显,B-ASP I-ASP O O O O,1 1 0 0 0 0
全 中 文 菜 单 设 置 层 级 合 理,O O O B-ASP I-ASP O O O O O O,0 0 0 1 1 0 0 0 0 0 0
后 期 成 本 较 低,O O B-ASP I-ASP O O,0 0 1 1 0 0
摄 像 画 面 质 量 很 好,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 1 1 0 0
连 拍 效 果 较 好,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
微 距 效 果 无 可 挑 剔,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
分 辨 率 偏 低,B-ASP I-ASP I-ASP O O,-1 -1 -1 0 0
的 瞬 时 连 拍 功 能 分 辨 率 偏 低,O O O O O O O B-ASP I-ASP I-ASP O O,0 0 0 0 0 0 0 -1 -1 -1 0 0
体 积 不 大,B-ASP I-ASP O O,1 1 0 0
清 晰 度 都 不 错,B-ASP I-ASP I-ASP O O O,1 1 1 0 0 0
色 彩 也 比 较 中 性,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
试 了 几 次 开 关 机 感 觉 启 动 速 度 还 比 较 快,O O O O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0
所 以 在 近 距 离 用 闪 光 灯 照 出 的 照 片 亮 度 过 大,O O O O O O O O O O O O O B-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 0 0
相 机 最 大 缺 点 就 是 耗 电 比 较 大,O O O O O O O O B-ASP I-ASP O O O,0 0 0 0 0 0 0 0 -1 -1 0 0 0
不 过 能 使 用 碱 性 五 号 电 池 也 是 优 点,O O O O O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
电 池 够 强 劲,B-ASP I-ASP O O O,1 1 0 0 0
手 动 功 能 也 不 错,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
寸 又 大 又 亮,O O O O O,0 0 0 0 0
体 积 不 大,B-ASP I-ASP O O,1 1 0 0
价 格 便 宜,B-ASP I-ASP O O,1 1 0 0
广 角 才 显 得 遗 憾,B-ASP I-ASP O O O O O,-1 -1 0 0 0 0 0
手 感 挺 好,B-ASP I-ASP O O,1 1 0 0
机 身 小 巧 方 便 携 带,B-ASP I-ASP O O O O O O,1 1 0 0 0 0 0 0
功 能 齐 全,B-ASP I-ASP O O,1 1 0 0
菜 单 操 作 相 对 复 杂,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
反 映 速 度 较 慢,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
电 池 比 较 不 耐 用,B-ASP I-ASP O O O O O,-1 -1 0 0 0 0 0
对 于 这 样 小 巧 且 重 量 很 轻 的 相 机 来 说,O O O O O O O B-ASP I-ASP O O O O O O O,0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
且 拍 的 图 像 鲜 艳 很 饱 和,O O O B-ASP I-ASP O O O O O,0 0 0 1 1 0 0 0 0 0
格 式 的 录 像 效 果 我 感 觉 也 很 满 意,O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O,0 0 0 1 1 1 1 0 0 0 0 0 0 0
但 精 度 不 高,O B-ASP I-ASP O O,0 -1 -1 0 0
亮 度 偏 低,B-ASP I-ASP O O,-1 -1 0 0
录 音 的 效 果 也 一 般,B-ASP I-ASP I-ASP I-ASP I-ASP O O O,-1 -1 -1 -1 -1 0 0 0
噪 点 很 多,B-ASP I-ASP O O,-1 -1 0 0
的 成 像 固 然 不 错,O B-ASP I-ASP O O O O,0 1 1 0 0 0 0
还 有 近 拍 能 力 也 很 弱,O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 -1 -1 -1 -1 0 0 0
所 以 标 配 的 的 拍 照 持 续 时 间 一 般,O O O O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0
的 机 器 操 作 也 很 简 单,O O O B-ASP I-ASP O O O O,0 0 0 1 1 0 0 0 0
相 机 的 成 像 质 量 好,O O O B-ASP I-ASP I-ASP I-ASP O,0 0 0 1 1 1 1 0
